x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x=  46.5 y=  34.9 sz= 7.5 black     | [EXC005]
x=  46.5 y=  43.6 sz= 7.5 black     | [SAS Field Name: EXC005]
x= 249.2 y=  61.6 sz= 7.5 black     | O N/A
x= 453.5 y=  62.1 sz= 5.6 black   B | EXC006
x=  46.5 y=  62.8 sz= 7.5 black     | 6. History of drug and/or alcohol abuse within 2 years prior
x= 453.5 y=  68.6 sz= 5.6 black     | Format: $6
x= 249.2 y=  70.3 sz= 7.5 black     | O Yes
x=  46.5 y=  71.5 sz= 7.5 black     | to screening.
x= 453.5 y=  75.2 sz= 5.6 black     | Data Type: string
x= 249.2 y=  79.0 sz= 7.5 black     | O No
x= 453.5 y=  81.7 sz= 5.6 black     | Origin: CRF
x= 249.2 y=  87.7 sz= 7.5 black     | O Unspecified
x= 453.5 y=  88.2 sz= 5.6 black     | Description: EXC006
x=  46.5 y=  88.9 sz= 7.5 black     | [EXC006]
x= 453.5 y=  94.7 sz= 5.6 black     | Mandatory?: Yes
x=  46.5 y=  97.6 sz= 7.5 black     | [SAS Field Name: EXC006]
x= 253.0 y= 100.3 sz= 6.4 #808080   | Code List: IE - Not Met
x= 453.5 y= 101.3 sz= 5.6 black     | Disallow Future Date: Yes
x=  46.5 y= 116.8 sz= 7.5 black     | 7. History of current hepatitis or acquired immunodeficiency
x=  46.5 y= 125.5 sz= 7.5 black     | syndrome or carriers of hepatitis B surface antigen and/or
x=  46.5 y= 134.2 sz= 7.5 black     | hepatitis C antibodies or HIV antibodies. Exceptions are
x= 249.2 y= 141.6 sz= 7.5 black     | O N/A
x= 453.5 y= 142.1 sz= 5.6 black   B | EXC007
x=  46.5 y= 142.9 sz= 7.5 black     | permitted for participants with a prior history of infection
x= 453.5 y= 148.7 sz= 5.6 black     | Format: $6
x= 249.2 y= 150.3 sz= 7.5 black     | O Yes
x=  46.5 y= 151.6 sz= 7.5 black     | with hepatitis A who have fully recovered and are
x= 453.5 y= 155.2 sz= 5.6 black     | Data Type: string
x= 249.2 y= 159.0 sz= 7.5 black     | O No
x=  46.5 y= 160.3 sz= 7.5 black     | experiencing no liver sequelae, or with hepatitis C who
x= 453.5 y= 161.8 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 167.7 sz= 7.5 black     | O Unspecified
x= 453.5 y= 168.3 sz= 5.6 black     | Description: EXC007
x=  46.5 y= 169.0 sz= 7.5 black     | have been adequately treated to be considered cured with
x= 453.5 y= 174.8 sz= 5.6 black     | Mandatory?: Yes
x=  46.5 y= 177.7 sz= 7.5 black     | no liver sequelae.
x= 253.0 y= 180.4 sz= 6.4 #808080   | Code List: IE - Not Met
x= 453.5 y= 181.3 sz= 5.6 black     | Disallow Future Date: Yes
x=  46.5 y= 195.1 sz= 7.5 black     | [EXC007]
x=  46.5 y= 203.8 sz= 7.5 black     | [SAS Field Name: EXC007]
x= 249.2 y= 221.7 sz= 7.5 black     | O N/A
x= 453.5 y= 222.2 sz= 5.6 black   B | EXC008
x=  46.5 y= 222.9 sz= 7.5 black     | 8. History of any significant drug allergy or known or
x= 453.5 y= 228.8 sz= 5.6 black     | Format: $6
x= 249.2 y= 230.4 sz= 7.5 black     | O Yes
x=  46.5 y= 231.6 sz= 7.5 black     | suspected hypersensitivity to any component of IMP.
x= 453.5 y= 235.3 sz= 5.6 black     | Data Type: string
x= 249.2 y= 239.1 sz= 7.5 black     | O No
x= 453.5 y= 241.9 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 247.8 sz= 7.5 black     | O Unspecified
x= 453.5 y= 248.4 sz= 5.6 black     | Description: EXC008
x=  46.5 y= 249.0 sz= 7.5 black     | [EXC008]
x= 453.5 y= 254.9 sz= 5.6 black     | Mandatory?: Yes
x=  46.5 y= 257.7 sz= 7.5 black     | [SAS Field Name: EXC008]
x= 253.0 y= 260.5 sz= 6.4 #808080   | Code List: IE - Not Met
x= 453.5 y= 261.4 sz= 5.6 black     | Disallow Future Date: Yes
x=  46.5 y= 280.1 sz= 7.5 black     | 9. A positive urine alcohol test or positive urine drug screen
x= 249.2 y= 283.2 sz= 7.5 black     | O N/A
x= 453.5 y= 283.7 sz= 5.6 black   B | EXC009
x=  46.5 y= 288.8 sz= 7.5 black     | for substances of abuse at screening and upon check-in to
x= 453.5 y= 290.3 sz= 5.6 black     | Format: $6
x= 249.2 y= 291.9 sz= 7.5 black     | O Yes
x= 453.5 y= 296.8 sz= 5.6 black     | Data Type: string
x=  46.5 y= 297.5 sz= 7.5 black     | the trial site.
x= 249.2 y= 300.6 sz= 7.5 black     | O No
x= 453.5 y= 303.3 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 309.3 sz= 7.5 black     | O Unspecified
x= 453.5 y= 309.8 sz= 5.6 black     | Description: EXC009
x=  46.5 y= 314.9 sz= 7.5 black     | [EXC009]
x= 453.5 y= 316.4 sz= 5.6 black     | Mandatory?: Yes
x= 253.0 y= 321.9 sz= 6.4 #808080   | Code List: IE - Not Met
x= 453.5 y= 322.9 sz= 5.6 black     | Disallow Future Date: Yes
x=  46.5 y= 323.6 sz= 7.5 black     | [SAS Field Name: EXC009]
x= 249.2 y= 344.7 sz= 7.5 black     | O N/A
x= 453.5 y= 345.1 sz= 5.6 black   B | EXC010
x=  46.5 y= 345.9 sz= 7.5 black     | 10. Any history of significant bleeding or hemorrhagic
x= 453.5 y= 351.7 sz= 5.6 black     | Format: $6
x= 249.2 y= 353.4 sz= 7.5 black     | O Yes
x=  46.5 y= 354.6 sz= 7.5 black     | tendencies.
x= 453.5 y= 358.3 sz= 5.6 black     | Data Type: string
x= 249.2 y= 362.1 sz= 7.5 black     | O No
x= 453.5 y= 364.8 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 370.8 sz= 7.5 black     | O Unspecified
