x=  33.3 y=  36.3 sz=11.4 black     | MAC186_X11_201_00001_eCRF_v1_10_form_tracker_v1_6_06Mar2025
x=  41.1 y=  48.9 sz= 7.2 black     | [61]
x= 235.3 y=  48.9 sz= 7.2 black     | CSS0422B
x= 390.0 y=  48.9 sz= 7.2 black     | Categorical select one (nominal)
x= 506.2 y=  48.9 sz= 7.2 black     | 1
x= 584.2 y=  48.9 sz= 7.2 black     | 0
x= 584.2 y=  56.1 sz= 7.2 black     | 1
x= 584.2 y=  63.3 sz= 7.2 black     | 2
x= 584.2 y=  70.5 sz= 7.2 black     | 3
x= 584.2 y=  77.7 sz= 7.2 black     | 4
x= 584.2 y=  84.9 sz= 7.2 black     | 5
x=  41.1 y=  94.5 sz= 7.2 black     | [62]
x= 235.3 y=  94.5 sz= 7.2 black     | CSS0423B
x= 390.0 y=  94.5 sz= 7.2 black     | Categorical select one (nominal)
x= 506.2 y=  94.5 sz= 7.2 black     | 1
x= 584.2 y=  94.5 sz= 7.2 black     | 0
x= 584.2 y= 101.7 sz= 7.2 black     | 1
x= 584.2 y= 108.9 sz= 7.2 black     | 2
x= 584.2 y= 116.1 sz= 7.2 black     | 3
x= 584.2 y= 123.3 sz= 7.2 black     | 4
x= 584.2 y= 130.5 sz= 7.2 black     | 5
x=  41.1 y= 140.0 sz= 7.2 black     | [63]
x= 235.3 y= 140.0 sz= 7.2 black     | CSS0421C
x= 390.0 y= 140.0 sz= 7.2 black     | Categorical select one (nominal)
x= 506.2 y= 140.0 sz= 7.2 black     | 1
x= 584.2 y= 140.0 sz= 7.2 black     | 0
x= 584.2 y= 147.2 sz= 7.2 black     | 1
x= 584.2 y= 154.4 sz= 7.2 black     | 2
x=  41.1 y= 164.0 sz= 7.2 black     | [64]
x= 235.3 y= 164.0 sz= 7.2 black     | CSS0422C
x= 390.0 y= 164.0 sz= 7.2 black     | Categorical select one (nominal)
x= 506.2 y= 164.0 sz= 7.2 black     | 1
x= 584.2 y= 164.0 sz= 7.2 black     | 0
x= 584.2 y= 171.2 sz= 7.2 black     | 1
x= 584.2 y= 178.4 sz= 7.2 black     | 2
x=  41.1 y= 188.0 sz= 7.2 black     | [65]
x= 235.3 y= 188.0 sz= 7.2 black     | CSS0423C
x= 390.0 y= 188.0 sz= 7.2 black     | Categorical select one (nominal)
x= 506.2 y= 188.0 sz= 7.2 black     | 1
x= 584.2 y= 188.0 sz= 7.2 black     | 0
x= 584.2 y= 195.2 sz= 7.2 black     | 1
x= 584.2 y= 202.4 sz= 7.2 black     | 2
