x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x=  44.2 y=  34.7 sz= 9.0 black     | Day 1
x= 138.1 y=  34.7 sz= 9.0 black     | 12:30:00 (1)
x= 207.8 y=  34.7 sz= 9.0 black     | Snack Start
x= 207.8 y=  48.1 sz= 9.0 black     | Snack End
x= 414.4 y=  56.5 sz= 7.2 black     | Conditionally Visible
x= 414.4 y=  64.8 sz= 7.2 black     | Form: Snack Start
x= 414.4 y=  73.1 sz= 7.2 black     | Study Event: Day 1
x=  44.2 y=  75.9 sz= 9.0 black     | Day 1
x= 138.1 y=  75.9 sz= 9.0 black     | 12:45:00 (1)
x= 414.4 y=  81.5 sz= 7.2 black     | Timepoint: 12:30:00 (1)
x= 414.4 y=  89.8 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y=  98.1 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 117.2 sz= 9.0 black     | Day 1
x= 138.1 y= 117.2 sz= 9.0 black     | 15:00:00 (1)
x= 207.8 y= 117.2 sz= 9.0 black     | Stipend Earned
x=  44.2 y= 130.6 sz= 9.0 black     | Day 2
x= 138.1 y= 130.6 sz= 9.0 black     | 23:30:00 (1)
x= 207.8 y= 130.6 sz= 9.0 black     | AE / CM Review
x=  44.2 y= 144.0 sz= 9.0 black     | Day 2
x= 138.1 y= 144.0 sz= 9.0 black     | 24:00:00 (1)
x= 207.8 y= 144.0 sz= 9.0 black     | Vital Signs Position
x=  44.2 y= 157.5 sz= 9.0 black     | Day 2
x= 138.1 y= 157.5 sz= 9.0 black     | 24:00:00 (1)
x= 207.8 y= 157.5 sz= 9.0 black     | Vital Signs - Orthostatic
x=  44.2 y= 170.9 sz= 9.0 black     | Day 2
x= 138.1 y= 170.9 sz= 9.0 black     | 24:00:00 (1)
x= 207.8 y= 170.9 sz= 9.0 black     | Urine Collection - PK - Interval End (12-24) – LAB USE ONLY
x=  44.2 y= 184.3 sz= 9.0 black     | Day 2
x= 138.1 y= 184.3 sz= 9.0 black     | 24:00:00 (1)
x= 207.8 y= 184.3 sz= 9.0 black     | Blood Collection - PK SEP/PD Creatine
x=  44.2 y= 197.7 sz= 9.0 black     | Day 2
x= 138.1 y= 197.7 sz= 9.0 black     | 24:10:00 (1)
x= 207.8 y= 197.7 sz= 9.0 black     | Breakfast Start
x= 207.8 y= 211.2 sz= 9.0 black     | Breakfast End
x= 414.4 y= 219.5 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 227.9 sz= 7.2 black     | Form: Breakfast Start
x= 414.4 y= 236.2 sz= 7.2 black     | Study Event: Day 2
x=  44.2 y= 239.0 sz= 9.0 black     | Day 2
x= 138.1 y= 239.0 sz= 9.0 black     | 24:40:00 (1)
x= 414.4 y= 244.5 sz= 7.2 black     | Timepoint: 24:10:00 (1)
x= 414.4 y= 252.8 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 261.2 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 280.2 sz= 9.0 black     | Day 2
x= 138.1 y= 280.2 sz= 9.0 black     | 28:00:00 (1)
x= 207.8 y= 280.2 sz= 9.0 black     | Lunch Start
x= 207.8 y= 293.7 sz= 9.0 black     | Lunch End
x= 414.4 y= 302.0 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 310.4 sz= 7.2 black     | Form: Lunch Start
x= 414.4 y= 318.7 sz= 7.2 black     | Study Event: Day 2
x=  44.2 y= 321.5 sz= 9.0 black     | Day 2
x= 138.1 y= 321.5 sz= 9.0 black     | 28:30:00 (1)
x= 414.4 y= 327.0 sz= 7.2 black     | Timepoint: 28:00:00 (1)
x= 414.4 y= 335.4 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 343.7 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 362.7 sz= 9.0 black     | Day 2
x= 138.1 y= 362.7 sz= 9.0 black     | 30:00:00 (1)
x= 207.8 y= 362.7 sz= 9.0 black     | Blood Collection - PK SEP
x=  44.2 y= 376.2 sz= 9.0 black     | Day 2
x= 138.1 y= 376.2 sz= 9.0 black     | 34:00:00 (1)
x= 207.8 y= 376.2 sz= 9.0 black     | Dinner Start
x= 207.8 y= 389.6 sz= 9.0 black     | Dinner End
x= 414.4 y= 398.0 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 406.3 sz= 7.2 black     | Form: Dinner Start
x= 414.4 y= 414.6 sz= 7.2 black     | Study Event: Day 2
x=  44.2 y= 417.4 sz= 9.0 black     | Day 2
x= 138.1 y= 417.4 sz= 9.0 black     | 34:30:00 (1)
x= 414.4 y= 423.0 sz= 7.2 black     | Timepoint: 34:00:00 (1)
x= 414.4 y= 431.3 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 439.6 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 458.7 sz= 9.0 black     | Day 2
x= 138.1 y= 458.7 sz= 9.0 black     | 36:00:00 (1)
x= 207.8 y= 458.7 sz= 9.0 black     | Vital Signs Position
x=  44.2 y= 472.1 sz= 9.0 black     | Day 2
x= 138.1 y= 472.1 sz= 9.0 black     | 36:00:00 (1)
x= 207.8 y= 472.1 sz= 9.0 black     | Vital Signs - Orthostatic
x=  44.2 y= 485.5 sz= 9.0 black     | Day 2
x= 138.1 y= 485.5 sz= 9.0 black     | 36:00:00 (1)
x= 207.8 y= 485.5 sz= 9.0 black     | Blood Collection - PK SEP
x=  44.2 y= 498.9 sz= 9.0 black     | Day 2
x= 138.1 y= 498.9 sz= 9.0 black     | 36:30:00 (1)
x= 207.8 y= 498.9 sz= 9.0 black     | Snack Start
x= 207.8 y= 512.4 sz= 9.0 black     | Snack End
x= 414.4 y= 520.8 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 529.1 sz= 7.2 black     | Form: Snack Start
x= 414.4 y= 537.4 sz= 7.2 black     | Study Event: Day 2
x=  44.2 y= 540.2 sz= 9.0 black     | Day 2
x= 138.1 y= 540.2 sz= 9.0 black     | 36:45:00 (1)
x= 414.4 y= 545.7 sz= 7.2 black     | Timepoint: 36:30:00 (1)
x= 414.4 y= 554.0 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 562.4 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 581.4 sz= 9.0 black     | Day 2
x= 138.1 y= 581.4 sz= 9.0 black     | 39:00:00 (1)
x= 207.8 y= 581.4 sz= 9.0 black     | Stipend Earned
x=  44.2 y= 594.9 sz= 9.0 black     | Day 3
x= 138.1 y= 594.9 sz= 9.0 black     | 47:30:00 (1)
x= 207.8 y= 594.9 sz= 9.0 black     | AE / CM Review
x=  44.2 y= 608.3 sz= 9.0 black     | Day 3
x= 138.1 y= 608.3 sz= 9.0 black     | 48:00:00 (1)
x= 207.8 y= 608.3 sz= 9.0 black     | Vital Signs Position
x=  44.2 y= 621.7 sz= 9.0 black     | Day 3
x= 138.1 y= 621.7 sz= 9.0 black     | 48:00:00 (1)
x= 207.8 y= 621.7 sz= 9.0 black     | Vital Signs - Orthostatic
x=  44.2 y= 635.1 sz= 9.0 black     | Day 3
x= 138.1 y= 635.1 sz= 9.0 black     | 48:00:00 (1)
x= 207.8 y= 635.1 sz= 9.0 black     | Blood Collection - PK SEP
x=  44.2 y= 648.6 sz= 9.0 black     | Day 3
x= 138.1 y= 648.6 sz= 9.0 black     | 48:10:00 (1)
x= 207.8 y= 648.6 sz= 9.0 black     | Breakfast Start
x= 207.8 y= 662.0 sz= 9.0 black     | Breakfast End
x= 414.4 y= 670.4 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 678.7 sz= 7.2 black     | Form: Breakfast Start
x= 414.4 y= 687.0 sz= 7.2 black     | Study Event: Day 3
x=  44.2 y= 689.8 sz= 9.0 black     | Day 3
x= 138.1 y= 689.8 sz= 9.0 black     | 48:40:00 (1)
x= 414.4 y= 695.4 sz= 7.2 black     | Timepoint: 48:10:00 (1)
x= 414.4 y= 703.7 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 712.0 sz= 7.2 black     | Visible If Value: Y = Yes
x=  44.2 y= 731.1 sz= 9.0 black     | Day 3
x= 138.1 y= 731.1 sz= 9.0 black     | 52:00:00 (1)
x= 207.8 y= 731.1 sz= 9.0 black     | Lunch Start
x= 207.8 y= 744.5 sz= 9.0 black     | Lunch End
x= 414.4 y= 752.9 sz= 7.2 black     | Conditionally Visible
x= 414.4 y= 761.2 sz= 7.2 black     | Form: Lunch Start
x= 414.4 y= 769.5 sz= 7.2 black     | Study Event: Day 3
x=  44.2 y= 772.3 sz= 9.0 black     | Day 3
x= 138.1 y= 772.3 sz= 9.0 black     | 52:30:00 (1)
x= 414.4 y= 777.9 sz= 7.2 black     | Timepoint: 52:00:00 (1)
x= 414.4 y= 786.2 sz= 7.2 black     | Conditional Item: ML_MEAL_ACCEPTED
x= 414.4 y= 794.5 sz= 7.2 black     | Visible If Value: Y = Yes
x=  36.0 y= 817.4 sz= 9.0 black     | Annotated CRF
x= 281.4 y= 817.4 sz= 9.0 black     | 6 of 238
x= 445.8 y= 817.4 sz= 9.0 black     | https://drvince.clinspark.com
