x=  33.3 y=  36.3 sz=11.4 black     | MAC186_X11_201_00001_eCRF_v1_10_form_tracker_v1_6_06Mar2025
x=  33.3 y=  48.5 sz= 7.8 black   B | Vital Signs - Part 2 4-12 Hours Post Dose
x=  42.9 y=  73.9 sz=17.4 black     | Vital Signs - Part 2 4-12 Hours Post Dose
x= 117.8 y=  97.6 sz= 7.8 black   B | Vital Signs Performed
x= 232.9 y= 100.6 sz= 7.8 black   B | Yes  [1]
x= 232.9 y= 112.6 sz= 7.8 black     | No
x= 114.8 y= 132.4 sz= 7.8 black   B | Reason Not Performed
x= 316.2 y= 132.4 sz= 7.8 black   B | [2]
x=  53.7 y= 153.6 sz= 6.0 black   B | Time Point  [3]
x= 120.8 y= 153.6 sz= 6.0 black   B | Repetition
x= 168.8 y= 153.6 sz= 6.0 black   B | Details  [5]
x= 231.1 y= 153.6 sz= 6.0 black   B | Location  [6]
x= 277.9 y= 153.6 sz= 6.0 black   B | Position  [7]
x= 324.6 y= 153.6 sz= 6.0 black   B | Other, Please Specify  [8]
x= 400.7 y= 153.6 sz= 6.0 black   B | Position
x= 437.9 y= 153.6 sz= 6.0 black   B | Vital Signs Date
x= 485.9 y= 153.6 sz= 6.0 black   B | Vital Signs
x= 528.4 y= 153.6 sz= 6.0 black   B | Not Done
x= 559.6 y= 153.6 sz= 6.0 black   B | Test  [13]
x= 659.1 y= 153.6 sz= 6.0 black   B | Results
x= 689.7 y= 153.6 sz= 6.0 black   B | Interpretation
x= 736.4 y= 153.6 sz= 6.0 black   B | Reason Not Done  [16]
x= 120.8 y= 159.6 sz= 6.0 black   B | Number  [4]
x= 400.7 y= 159.6 sz= 6.0 black   B | Time  [9]
x= 437.9 y= 159.6 sz= 6.0 black   B | [10]
x= 485.9 y= 159.6 sz= 6.0 black   B | Time  [11]
x= 528.4 y= 159.6 sz= 6.0 black   B | [12]
x= 659.1 y= 159.6 sz= 6.0 black   B | [14]
x= 689.7 y= 159.6 sz= 6.0 black   B | [15]
x=  44.7 y= 168.6 sz= 6.0 black     | 1
x=  56.1 y= 171.6 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 171.6 sz= 6.0 black     | 1
x= 171.2 y= 171.6 sz= 6.0 black     | Vital Signs Details
x=  44.7 y= 183.5 sz= 6.0 black     | 2
x=  56.1 y= 186.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 186.5 sz= 6.0 black     | 1
x= 562.0 y= 186.5 sz= 6.0 black     | Temperature (°C)
x=  44.7 y= 198.5 sz= 6.0 black     | 3
x=  56.1 y= 201.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 201.5 sz= 6.0 black     | 1
x= 562.0 y= 201.5 sz= 6.0 black     | Respiratory Rate (breaths/min)
x=  44.7 y= 213.5 sz= 6.0 black     | 4
x=  56.1 y= 216.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 216.5 sz= 6.0 black     | 1
x= 562.0 y= 216.5 sz= 6.0 black     | Systolic Blood Pressure (mmHg)
x=  44.7 y= 228.5 sz= 6.0 black     | 5
x=  56.1 y= 231.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 231.5 sz= 6.0 black     | 1
x= 562.0 y= 231.5 sz= 6.0 black     | Diastolic Blood Pressure (mmHg)
x=  44.7 y= 243.5 sz= 6.0 black     | 6
x=  56.1 y= 246.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 246.5 sz= 6.0 black     | 1
x= 562.0 y= 246.5 sz= 6.0 black     | Pulse Rate (beats/min)
x=  44.7 y= 258.5 sz= 6.0 black     | 7
x=  56.1 y= 261.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 261.5 sz= 6.0 black     | 1
x= 562.0 y= 261.5 sz= 6.0 black     | SpO2
x=  44.7 y= 273.5 sz= 6.0 black     | 8
x=  56.1 y= 276.5 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 276.5 sz= 6.0 black     | 2
x= 171.2 y= 276.5 sz= 6.0 black     | Vital Signs Details
x=  44.7 y= 288.4 sz= 6.0 black     | 9
x=  56.1 y= 291.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 291.4 sz= 6.0 black     | 2
x= 562.0 y= 291.4 sz= 6.0 black     | Temperature (°C)
x=  44.7 y= 303.4 sz= 6.0 black     | 10
x=  56.1 y= 306.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 306.4 sz= 6.0 black     | 2
x= 562.0 y= 306.4 sz= 6.0 black     | Respiratory Rate (breaths/min)
x=  44.7 y= 318.4 sz= 6.0 black     | 11
x=  56.1 y= 321.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 321.4 sz= 6.0 black     | 2
x= 562.0 y= 321.4 sz= 6.0 black     | Systolic Blood Pressure (mmHg)
x=  44.7 y= 333.4 sz= 6.0 black     | 12
x=  56.1 y= 336.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 336.4 sz= 6.0 black     | 2
x= 562.0 y= 336.4 sz= 6.0 black     | Diastolic Blood Pressure (mmHg)
x=  44.7 y= 348.4 sz= 6.0 black     | 13
x=  56.1 y= 351.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 351.4 sz= 6.0 black     | 2
x= 562.0 y= 351.4 sz= 6.0 black     | Pulse Rate (beats/min)
x=  44.7 y= 363.4 sz= 6.0 black     | 14
x=  56.1 y= 366.4 sz= 6.0 black     | 4 Hours Post Dose
x= 123.2 y= 366.4 sz= 6.0 black     | 2
x= 562.0 y= 366.4 sz= 6.0 black     | SpO2
x=  44.7 y= 378.4 sz= 6.0 black     | 15
x=  56.1 y= 381.4 sz= 6.0 black     | 8 Hours Post Dose
x= 123.2 y= 381.4 sz= 6.0 black     | 1
x= 171.2 y= 381.4 sz= 6.0 black     | Vital Signs Details
x=  44.7 y= 393.3 sz= 6.0 black     | 16
x=  56.1 y= 396.3 sz= 6.0 black     | 8 Hours Post Dose
x= 123.2 y= 396.3 sz= 6.0 black     | 1
x= 562.0 y= 396.3 sz= 6.0 black     | Temperature (°C)
x=  44.7 y= 408.3 sz= 6.0 black     | 17
x=  56.1 y= 411.3 sz= 6.0 black     | 8 Hours Post Dose
x= 123.2 y= 411.3 sz= 6.0 black     | 1
x= 562.0 y= 411.3 sz= 6.0 black     | Respiratory Rate (breaths/min)
x=  44.7 y= 423.3 sz= 6.0 black     | 18
x=  56.1 y= 426.3 sz= 6.0 black     | 8 Hours Post Dose
x= 123.2 y= 426.3 sz= 6.0 black     | 1
